name,class,age_group,climbing,tire_swing,swings_preschool_seats,swings_belt_seats,slides,see_saw,sand_box,hopscotch,playhouse,spring_toy,other,fencing,accessible,open,modified_date,created_date,parkname,parkaddress
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Star Park,"11 Highmont Court, Kanata"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Yves Richer Park,"499 des Épinettes Avenue, Cumberland"
play structure,play structure,junior,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown,2022-Feb-16 3:24:32 PM,,Edwards Park,"1081 Yorks Corners Road, Osgoode"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Pierre Rocque Park,"1257 Joseph-Drouin Avenue, Gloucester"
play structure,play structure,junior,yes,unknown,unknown,unknown,yes,unknown,yes,unknown,yes,unknown,unknown,unknown,yes,unknown,2022-Jul-22 8:53:55 AM,2020-Dec-11 12:07:16 PM,Rubicon Park,915 Rubicon Place
play structure,play structure,all,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2022-Jul-22 8:53:48 AM,2020-Dec-11 10:29:55 AM,Putney Woodland Park,631 Putney Crescent
play area,mixed,junior,unknown,no,yes,yes,unknown,unknown,unknown,no,yes,yes,no,no,no,unknown,2022-Feb-16 2:55:27 PM,,Ed Hollyer Park,55 Bellrock Drive
play area,play structure,junior,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:08 PM,,Greenboro Park and Community Centre,363 Lorry Greenberg Drive
play area,play area,junior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,no,unknown,2021-Oct-20 1:11:24 PM,2021-Oct-20 1:07:28 PM,Barcham Park,"80 Bren-Maur Road, Nepean"
play structure,play structure,junior,no,no,no,no,yes,no,no,no,no,yes,no,no,no,unknown,2021-Oct-20 1:56:41 PM,,Barnabé Park,"1797 Des Epinettes Avenue, Gloucester"
play area,swing,senior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-20 1:58:24 PM,,Barnabé Park,"1797 Des Epinettes Avenue, Gloucester"
play structure,swing,all,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2021-Oct-20 1:11:56 PM,2021-Oct-20 1:07:35 PM,Barcham Park,"80 Bren-Maur Road, Nepean"
play structure,play structure,senior,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,unknown,2021-Nov-19 2:09:30 PM,,Bruff Park,"250 Lorry Greenberg Drive, Ottawa"
play area,mixed,junior,yes,no,yes,yes,yes,unknown,no,no,no,yes,no,no,no,unknown,2021-Nov-19 3:55:09 PM,,Burnford Park,"28 Glencoe Street, Nepean"
play structure,swing,junior,unknown,no,yes,yes,no,no,yes,no,no,no,no,no,yes,unknown,2021-Nov-19 2:29:51 PM,,Bryanston Gate Park,23 Alon Street
play area,mixed,all,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,unknown,2021-Oct-25 11:41:15 AM,,Big Bird Park,"936 Lawnsberry Drive, Cumberland"
play structure,see-saw,junior,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown,2021-Oct-25 12:08:09 PM,,Big Bird Park,"936 Lawnsberry Drive, Cumberland"
play area,mixed,junior,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,unknown,2021-Oct-25 11:01:59 AM,,Bethune Park,"279 March Road, Kanata"
play area,mixed,junior,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,unknown,2021-Oct-25 11:09:24 AM,,Bethune Park,"279 March Road, Kanata"
play structure,swing,all,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-25 9:49:04 AM,,Berry Glen Park,"36 Berry Glen Street, Nepean"
play structure,play structure,toddler,no,no,no,no,yes,no,no,no,no,no,yes,no,no,unknown,2021-Oct-25 9:51:11 AM,,Berry Glen Park,"36 Berry Glen Street, Nepean"
play structure,slide,junior,no,no,no,no,yes,no,no,no,no,no,no,no,no,unknown,2021-Oct-25 2:53:13 PM,,Billings Park,"495 Billings Avenue, Ottawa"
play structure,swing,all,unknown,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-25 3:51:59 PM,,Bingham Park,"145 Cathcart Street, Ottawa"
play structure,swing,junior,no,no,yes,yes,no,unknown,no,no,no,yes,yes,no,no,unknown,2021-Oct-25 1:26:59 PM,,Bilberry Park,"6600 Bilberry Drive, Gloucester"
play area,play structure,senior,yes,no,no,no,yes,no,no,no,unknown,no,yes,no,no,unknown,2021-Oct-25 9:50:14 AM,,Berry Glen Park,"36 Berry Glen Street, Nepean"
play area,mixed,all,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,unknown,2021-Oct-25 2:53:37 PM,,Billings Park,"495 Billings Avenue, Ottawa"
play area,sandbox,junior,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,2021-Oct-29 11:45:50 AM,2021-Oct-29 11:10:09 AM,Boisdale Park,"210 Émerillon Ridge, Cumberland"
play structure,swing,junior,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2021-Oct-29 3:09:27 PM,2021-Oct-29 3:06:22 PM,Bradley Ridge Park,"221 Radhika Court, Gloucester"
play structure,mixed,all,yes,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,2021-Oct-29 3:18:17 PM,2021-Oct-29 3:14:52 PM,Bradley Ridge Park,"221 Radhika Court, Gloucester"
play structure,play structure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:18 PM,,Water Dragon Park,"424 Chapman Mills Drive, Nepean"
play area,play area,toddler,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:21 PM,,Terry Carisse Park,"3035 Steeple Hill Crescent, Nepean"
play area,mixed,all,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,unknown,2021-Nov-30 8:58:23 AM,,Combermere Park,"11 Combermere Lane, Gloucester"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-30 11:07:04 AM,,Copeland Park,"1609 Navaho Drive, Ottawa"
play area,mixed,junior,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,unknown,2021-Nov-30 3:32:55 PM,,Country Place Park,"83 Amberwood Crescent, Nepean"
play structure,tire swing,junior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-30 3:38:07 PM,,Country Place Park,"83 Amberwood Crescent, Nepean"
play structure,spring toy,junior,no,no,no,no,unknown,no,no,no,no,yes,no,no,no,unknown,2021-Nov-30 3:39:05 PM,,Country Place Park,"83 Amberwood Crescent, Nepean"
play structure,play structure,junior,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2021-Nov-30 3:43:30 PM,2016-Feb-17 2:41:48 PM,Country Place Park,"83 Amberwood Crescent, Nepean"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2022-Feb-16 3:02:03 PM,,Edgehill Park,"1264 Ridgemont Avenue, Ottawa"
play structure,tire swing,junior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-16 3:23:46 PM,,Edwards Park,"1081 Yorks Corners Road, Osgoode"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-16 3:25:49 PM,,Edwards Park,"1081 Yorks Corners Road, Osgoode"
play structure,tire swing,junior,no,yes,no,no,no,no,no,no,unknown,unknown,no,no,no,unknown,2022-Feb-16 3:03:46 PM,,Edgehill Park,"1264 Ridgemont Avenue, Ottawa"
play structure,ball toss,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2022-Feb-16 3:13:30 PM,2022-Feb-16 3:12:16 PM,Edward Craig Park,"6480 Doctor Blair Crescent, Rideau"
play area,mixed,senior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-23 2:41:08 PM,,Emerald Woods Park,3795 Alderwood Street
play structure,swing,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2021-Nov-19 3:20:56 PM,2021-Nov-19 3:17:52 PM,Burnett Park,"135 Sherway Drive, Nepean"
play structure,play structure,toddler,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,unknown,2021-Nov-19 4:29:07 PM,,Butterfly Park,"711 Long Point Circle, Gloucester"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,unknown,2021-Nov-19 4:16:45 PM,,Butterfly Park,"711 Long Point Circle, Gloucester"
play area,mixed,all,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,unknown,2021-Nov-19 3:30:54 PM,,Burnett Park,"135 Sherway Drive, Nepean"
play structure,mixed,senior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-19 3:32:27 PM,,Burnett Park,"135 Sherway Drive, Nepean"
play area,mixed,senior,yes,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-23 9:22:59 AM,,Capital Park,"10 Ella Street, Ottawa"
play structure,play structure,junior,no,no,no,no,no,no,no,no,unknown,no,no,no,no,unknown,2021-Nov-23 9:25:11 AM,,Capital Park,"10 Ella Street, Ottawa"
play area,swing,all,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-23 9:26:26 AM,,Capital Park,"10 Ella Street, Ottawa"
play structure,sandbox,,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,yes,unknown,2021-Nov-23 11:38:58 AM,4/14/2015 1:30:58 PM,Cardinal Creek Community Park,"1825 Trim Road, Cumberland"
play structure,play structure,junior,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,unknown,2021-Nov-23 2:45:31 PM,,Carillon Park,"246 Park Street, Vanier"
play area,play structure,all,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,unknown,2021-Nov-23 3:29:14 PM,,Carleton Heights Park,"1665 Apeldoorn Avenue, Ottawa"
play area,swing,all,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,unknown,2021-Nov-23 3:34:04 PM,,Carleton Heights Park,"1665 Apeldoorn Avenue, Ottawa"
play area,play area,senior,no,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2018-Jan-18 2:55:24 PM,,Joe Rowan Park,"2665 Glenwood Drive, Osgoode"
play area,play area,toddler,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Rooney Park,"15 Steeple Hill Crescent, Nepean"
play area,play area,junior,yes,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Pauline Vanier Park,"1015 Harkness Avenue, Ottawa"
play structure,play structure,toddler,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,2021-Oct-29 3:17:55 PM,2021-Oct-29 3:17:00 PM,Bradley Ridge Park,"221 Radhika Court, Gloucester"
play area,play area,toddler,no,no,no,no,yes,no,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,McKenna Park / Jockvale Heritage Building,"3131 Jockvale Road, Nepean"
play area,play area,toddler,no,no,no,no,no,no,yes,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Recreational Trail,"100 Tapiola Crescent, Ottawa"
play structure,ball toss,junior,no,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2021-Nov-02 2:15:31 PM,,Britannia Park,"2805 Carling Avenue, Ottawa"
play area,play area,toddler,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:28 PM,,Agnes Purdy Park,"9 Southpark Drive, Gloucester"
play structure,play structure,all,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,no,unknown,2021-Nov-02 9:49:09 AM,,Brigitta Park,"354 Brigitta Street, Kanata"
play structure,swing,all,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2021-Oct-13 9:53:43 AM,2020-Oct-15 9:06:05 AM,Anishà Park,4355 Kelly Farm Drive
play area,play structure,senior,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,2021-Oct-13 9:54:45 AM,2020-Oct-15 9:14:35 AM,Anishà Park,4355 Kelly Farm Drive
play structure,swing,all,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2021-Oct-13 10:02:24 AM,2021-Oct-13 9:55:17 AM,Anishà Park,4355 Kelly Farm Drive
play structure,swing,all,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-13 11:27:43 AM,,Annie Pootoogook Park,"250 Somerset Street, Ottawa"
play area,play structure,all,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,no,unknown,2021-Oct-13 11:22:41 AM,,Annie Pootoogook Park,"250 Somerset Street, Ottawa"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,yes,yes,no,no,unknown,2022-Feb-23 2:11:45 PM,,Elmridge Park,"1841 Elmridge Drive, Gloucester"
play area,play area,junior,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,unknown,2022-Feb-23 1:31:22 PM,,Elizabeth Manley Park,"1161 Blohm Drive, Ottawa"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,yes,yes,no,no,unknown,2022-Feb-23 2:48:42 PM,,Emond Park,"217 Emond Street, Vanier"
play structure,swing,toddler,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-23 3:25:22 PM,,Ev Tremblay Park,"108 Beech Street, Ottawa"
play area,play area,senior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Joe Jamieson Park,"6940 Bilberry Drive, Gloucester"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Presland Park,"368 Presland Road, Ottawa"
play area,play area,toddler,no,no,no,no,no,no,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Thornecliffe Park,"45 Provender Avenue, Ottawa"
play area,mixed,all,yes,no,yes,unknown,yes,no,no,no,no,no,yes,no,no,unknown,2021-Nov-02 12:30:05 PM,,Britannia Park,"2805 Carling Avenue, Ottawa"
play structure,play structure,all,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,unknown,2021-Nov-02 2:14:31 PM,,Britannia Park,"2805 Carling Avenue, Ottawa"
play area,mixed,all,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,no,unknown,2022-Mar-28 9:17:04 AM,,Glandriel Park,"2130 Valin Street, Cumberland"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,yes,no,yes,no,unknown,2022-Mar-28 9:42:36 AM,,Glebe Community Centre and St James Tennis Courts,"690 Lyon Street South, Ottawa"
play structure,swing,junior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-28 10:00:36 AM,,Glebe Memorial Park,"75 Glendale Avenue, Ottawa"
play area,mixed,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 10:16:16 AM,,Gus Este Park,"26 Brookstone Street, Nepean"
play area,mixed,senior,no,no,no,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 8:56:04 AM,,Grey Nuns Park,"1595 Grey Nuns Drive, Gloucester"
play area,mixed,All,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,unknown,2022-Mar-30 10:00:10 AM,2020-Oct-21 1:07:20 PM,Guinness Park,120 Ramsgrange Street
play structure,play structure,toddler,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,unknown,2022-Mar-30 10:01:28 AM,2020-Oct-21 12:16:06 PM,Guinness Park,120 Ramsgrange Street
play area,mixed,senior,yes,yes,unknown,no,no,no,no,no,no,yes,no,no,no,unknown,2022-Mar-30 10:59:07 AM,,Gérald Poulin Park,"1899 Du Clairvaux Road, Gloucester"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 8:59:16 AM,,Michael Budd Park,"2359 Orient Park Drive, Gloucester"
play structure,swing,junior,no,no,unknown,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-02 12:25:11 PM,,Britannia Park,"2805 Carling Avenue, Ottawa"
play area,play area,toddler,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Quarry Park,"51 Twilight Crescent, Gloucester"
play area,mixed,junior,yes,unknown,yes,yes,yes,yes,yes,unknown,unknown,yes,unknown,unknown,yes,unknown,2022-Feb-23 9:11:09 AM,2021-Sep-20 12:40:07 PM,Sarah McCarthy Park,240 Cedarstone Street
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Parkway Park,"2095 Kingsley Road, Ottawa"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,yes,no,unknown,2018-Jan-18 2:55:32 PM,,Parkway Park,"2095 Kingsley Road, Ottawa"
play structure,swing,junior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-23 2:38:45 PM,,Emerald Woods Park,3795 Alderwood Street
play structure,play structure,junior,no,no,no,no,unknown,no,no,no,no,no,no,no,no,unknown,2022-Feb-23 3:25:14 PM,,Ev Tremblay Park,"108 Beech Street, Ottawa"
play area,play area,junior,no,yes,no,no,no,no,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Yves Chénier Park,"3585 Sarsfield Road, Cumberland"
play structure,play structure,junior,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,unknown,2022-Feb-23 9:27:32 AM,,Brewer Park,"100 Brewer Way, Ottawa"
play area,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Feb-23 2:10:19 PM,,Elmridge Park,"1841 Elmridge Drive, Gloucester"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown,2022-Feb-23 9:52:50 AM,,Westboro Kiwanis Park,"411 Dovercourt Avenue, Ottawa"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,unknown,no,unknown,no,unknown,2022-Feb-23 1:41:18 PM,,Elizabeth Manley Park,"1161 Blohm Drive, Ottawa"
play structure,swing,junior,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2021-Nov-23 11:41:42 AM,4/14/2015 1:28:39 PM,Cardinal Creek Community Park,"1825 Trim Road, Cumberland"
play area,mixed,toddler,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,unknown,2021-Nov-23 12:32:33 PM,,Cardinal Farm Park,"1921 Wildflower Drive, Cumberland"
play area,mixed,senior,yes,yes,no,yes,yes,no,no,no,no,no,yes,unknown,yes,unknown,2021-Nov-23 12:30:57 PM,,Cardinal Farm Park,"1921 Wildflower Drive, Cumberland"
play area,mixed,,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,2022-Mar-30 12:45:43 PM,2016-Feb-17 3:03:16 PM,Half Moon Bay Park,"3525 Cambrian Road, Nepean"
play structure,slide,junior,no,no,no,no,yes,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 1:38:19 PM,,Hampton Park,"645 Parkview Road, Ottawa"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 11:01:08 AM,,Gérald Poulin Park,"1899 Du Clairvaux Road, Gloucester"
play area,mixed,junior,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,unknown,2022-Mar-30 2:47:09 PM,,Harkness Park,"6020 Piperville Road, Gloucester"
play structure,play structure,junior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,2022-Mar-30 12:36:03 PM,2016-Feb-17 3:03:14 PM,Half Moon Bay Park,"3525 Cambrian Road, Nepean"
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 2:17:55 PM,,Harbour View Park,"150 Harbour View Street, Nepean"
play area,mixed,junior,yes,no,no,no,unknown,no,no,no,no,no,no,no,no,unknown,2022-Mar-30 2:19:00 PM,,Harbour View Park,"150 Harbour View Street, Nepean"
play area,sandbox,,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,unknown,yes,unknown,2022-Mar-30 12:44:06 PM,2019-Feb-25 3:47:51 PM,Half Moon Bay Park,"3525 Cambrian Road, Nepean"
play area,mixed,all,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,unknown,2022-Mar-30 3:26:28 PM,,Harold Barnhart Park,"5650 Scobie Crescent, Osgoode"
play structure,swing,junior,no,no,no,yes,unknown,no,yes,no,yes,yes,no,no,no,unknown,2022-Feb-24 3:30:44 PM,,Father Richard Ward Park,"1073 Chablis Park, Gloucester"
play structure,swing,junior,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2022-Feb-24 3:46:50 PM,,Fawn Meadow Park,"165 Meandering Brook Drive, Gloucester"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,yes,no,no,unknown,2022-Feb-24 3:32:56 PM,,Father Richard Ward Park,"1073 Chablis Park, Gloucester"
play area,mixed,junior,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,no,unknown,2022-Feb-24 3:48:54 PM,,Fawn Meadow Park,"165 Meandering Brook Drive, Gloucester"
play area,mixte,junior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,no,unknown,2022-Feb-24 3:10:09 PM,2022-Feb-24 3:07:46 PM,Farmstead Ridge Park,"2448 Church Street, Rideau"
play area,mixed,junior,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,yes,unknown,2022-May-03 11:48:19 AM,2020-Jun-12 2:28:46 PM,Joella Park,"5565 Joella Crescent, Osgoode"
play area,mixed,senior,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,unknown,2022-Mar-10 3:43:35 PM,,Feed Mill Creek Park,"1080 Carp Road, Goulbourn"
play structure,spring toy,toddler,no,no,no,no,no,no,no,no,no,yes,no,no,no,unknown,2022-May-02 2:46:56 PM,,Crantham Park,"11 Crantham Crescent, Goulbourn"
play area,sandbox,toddler,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,unknown,2022-May-02 2:48:26 PM,,Hutton Park,"1830 Hutton Avenue, Ottawa"
play structure,spring toy,junior,no,no,no,no,no,no,no,no,no,yes,no,no,no,unknown,2022-May-02 2:46:49 PM,,Clare Gardens Park,"269 Clare Street, Ottawa"
play structure,spring toy,junior,no,no,no,no,no,no,no,no,no,yes,no,no,no,unknown,2022-May-02 2:47:03 PM,,Barrington Park,"1705 Orléans Boulevard, Gloucester"
play area,play area,junior,yes,no,no,no,unknown,no,no,no,no,no,yes,no,no,unknown,2022-Mar-31 10:17:05 AM,,Harold Diceman Park,"30 Diceman Crescent, Gloucester"
play structure,play structure,junior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2022-Mar-31 1:18:28 PM,,Healey's Heath Park,"25 West Healey Avenue, Goulbourn"
play area,swing,toddler,no,unknown,yes,no,no,no,no,no,no,yes,no,yes,no,unknown,2022-Mar-31 11:35:08 AM,,Hawthorne Park,"2139 Tawney Road, Ottawa"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown,2022-Mar-31 11:15:27 AM,2020-Oct-21 3:46:00 PM,Havencrest Woods Park,636 Barry Helman Crescent
play area,sandbox,toddler,unknown,no,no,no,no,no,yes,no,no,no,unknown,yes,no,unknown,2022-Mar-31 2:47:42 PM,,Helen Redpath Thomson Park,"861 Cummings Avenue, Ottawa"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,no,no,yes,no,unknown,2022-Mar-31 11:38:31 AM,,Hawthorne Park,"2139 Tawney Road, Ottawa"
play structure,play structure,toddler,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,2022-Mar-31 10:45:14 AM,2018-Mar-01 3:40:25 PM,Harthill Way Linear Park,"125 Harthill Way, Nepean"
play area,play area,all,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2022-Mar-31 10:45:22 AM,2016-Jun-13 1:45:25 PM,Summerhill Park,560 Summerhill Street
play area,mixed,all,unknown,unknown,yes,yes,unknown,unknown,yes,unknown,unknown,yes,yes,yes,yes,unknown,2022-May-03 2:41:25 PM,2016-Feb-17 3:38:51 PM,Joseph Laflamme Park,121 Prestige Circle
play area,mixed,junior,unknown,no,yes,no,no,no,no,no,no,unknown,no,yes,no,unknown,2022-May-03 11:35:54 AM,,Joe Rowan Park,"2665 Glenwood Drive, Osgoode"
play area,play area,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:24 PM,,Spratt Park,"4191 Spratt Road, Gloucester"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:24 PM,,Valleystream East Park,"92 Gladecrest Court, Nepean"
play structure,play structure,toddler,no,no,no,no,no,no,no,no,no,yes,no,yes,no,unknown,2022-May-02 2:45:19 PM,,Joan O'Malley Park,"4310 Shoreline Drive, Gloucester"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,yes,no,unknown,2018-Jan-18 2:55:24 PM,,Parkdale Park,"366 Parkdale Avenue, Ottawa"
play area,play area,toddler,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,unknown,2018-Jan-18 2:55:24 PM,,Cyrville Park,"1420 Meadowbrook Road, Gloucester"
play area,mixed,toddler,no,no,yes,unknown,no,no,no,no,no,no,no,no,no,unknown,2022-Apr-27 12:07:11 PM,,J.J. Clarke Park,"75 Bridlewood Drive, Kanata"
play structure,play structure,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,2018-Jan-18 2:55:28 PM,,Pioneer Plains Park,"1018 Stittsville Main Street, Goulbourn"
play area,play area,toddler,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Steve MacLean Park,"1190 Deer Park Road, Nepean"
play area,play area,junior,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:32 PM,,Windsor Park Gloucester,"3560 Wyman Place, Gloucester"
play area,play area,toddler,no,no,no,no,no,no,yes,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,Weybridge Park,"75 Flanders Street, Nepean"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:18 PM,,St. Luke's Park,"166 Frank Street, Ottawa"
