name,class,age_group,climbing,tire_swing,swings_preschool_seats,swings_belt_seats,slides,see_saw,sand_box,hopscotch,playhouse,spring_toy,other,fencing,accessible,open,modified_date,created_date,parkname,parkaddress
play area,play structure,all,yes,no,no,no,yes,no,unknown,no,no,no,yes,no,no,unknown,2021-Oct-06 9:34:04 AM,,Alda Burt Park,"1816 St-Laurent Boulevard, Ottawa"
play structure,play structure,junior,yes,no,no,no,no,no,no,no,no,no,no,no,yes,unknown,2021-Oct-06 1:40:05 PM,,Alexander Park,"960 Silver Street, Ottawa"
play structure,swing,all,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-06 9:26:38 AM,,Alda Burt Park,"1816 St-Laurent Boulevard, Ottawa"
play structure,swing,senior,no,no,unknown,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-06 1:37:28 PM,,Alexander Park,"960 Silver Street, Ottawa"
play structure,play structure,junior,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,unknown,2021-Oct-19 10:59:04 AM,,Arlington Park,"165 Arlington Avenue, Ottawa"
play structure,swing,all,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Oct-19 10:01:44 AM,,Arbeatha Park,"105 Arbeatha Street, Nepean"
play structure,swing,All,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,unknown,2021-Oct-19 10:30:33 AM,2017-Apr-28 2:50:58 PM,Arcadia Park,175 Calvington Avenue
play structure,play structure,All,unknown,no,no,no,yes,no,no,no,no,no,yes,no,yes,unknown,2021-Oct-19 10:38:48 AM,2017-Apr-28 2:51:02 PM,Arcadia Park,175 Calvington Avenue
play structure,play structure,toddler,no,no,no,no,yes,no,no,no,no,yes,no,no,no,unknown,2021-Oct-19 10:03:26 AM,,Arbeatha Park,"105 Arbeatha Street, Nepean"
play area,mixed,junior,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,no,unknown,2021-Oct-19 9:54:01 AM,10/15/2015 11:10:46 AM,Aquaview Pond,"450 Aquaview Drive, Cumberland"
play area,play structure,all,yes,unknown,yes,yes,yes,unknown,yes,yes,unknown,unknown,yes,unknown,yes,unknown,2021-Oct-19 3:10:33 PM,2020-Dec-18 12:41:12 PM,August Park,544 Ponthieu Circle
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown,2018-Jan-18 2:55:42 PM,,Bingham Park,"145 Cathcart Street, Ottawa"
play area,mixed,junior,no,no,no,yes,no,no,no,no,no,no,no,no,no,unknown,2022-Apr-27 12:09:38 PM,,J.J. Clarke Park,"75 Bridlewood Drive, Kanata"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,no,yes,no,unknown,2018-Jan-18 2:55:42 PM,,Riverwood Park,"22 Kimberwick Crescent, Ottawa"
play structure,play structure,senior,no,no,no,no,no,no,no,no,no,no,yes,no,yes,unknown,2022-Apr-27 11:31:08 AM,,Ivy and Gordon Scharf Park,"5535 Pettapiece Crescent, Goulbourn"
play area,mixed,toddler,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,unknown,2022-Apr-27 9:48:33 AM,,Isaiah Scharfe Park,"41 Bearbrook Road, Gloucester"
